year,source_id,name,available,available_months,available_from,capacity_t,capacity_available_t,reserved_capacity_t,ordered_t,delivered_plan_t,delivered_actual_t,delivery_share,payable_volume_t,take_or_pay_topup_t,price_mln_per_t,base_price_mln_per_t,variable_payment_mln,reservation_payment_mln,total_payment_mln,lead_time,order_by,reliability
2037,A,Earth-Core,1,12,2037-01,190.0,190.0,190.0,190.0,190.0,190.0,1.0,190.0,0.0,6.2,6.2,1178.0,85.5,1263.5,12 month,2036-01,0.96
2037,B,Earth-Flex,1,12,2037-01,110.0,110.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.9,8.9,0.0,0.0,0.0,4 month,2036-09,0.985
2037,C,Earth-New,0,0,Earth-New доступен с None,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,7.1,0.0,0.0,0.0,18–24 month,,0.94
2037,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,
2037,E,Emergency,1,12,2037-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,2036-11,0.995
2038,A,Earth-Core,1,12,2038-01,190.0,190.0,180.0,180.0,180.0,180.0,1.0,180.0,0.0,7.75,6.2,1395.0,81.0,1476.0,12 month,2037-01,0.96
2038,B,Earth-Flex,1,12,2038-01,110.0,110.0,15.0,15.0,15.0,15.0,1.0,15.0,0.0,11.125,8.9,166.875,2.25,169.125,4 month,2037-09,0.985
2038,C,Earth-New,1,12,2038-01,130.0,130.0,90.0,90.0,90.0,90.0,1.0,90.0,0.0,7.1,7.1,639.0,27.0,666.0,18–24 month,2036-01,0.88
2038,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,0.78
2038,E,Emergency,1,12,2038-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,2037-11,0.995
2039,A,Earth-Core,1,12,2039-01,190.0,190.0,190.0,190.0,190.0,190.0,1.0,190.0,0.0,7.75,6.2,1472.5,85.5,1558.0,12 month,2038-01,0.96
2039,B,Earth-Flex,1,12,2039-01,110.0,110.0,10.0,5.0,5.0,5.0,1.0,5.0,0.0,11.125,8.9,55.625,1.5,57.125,4 month,2038-09,0.985
2039,C,Earth-New,1,12,2039-01,130.0,130.0,110.0,110.0,110.0,110.0,1.0,110.0,0.0,7.1,7.1,781.0,33.0,814.0,18–24 month,2037-01,0.94
2039,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,0.9
2039,E,Emergency,1,12,2039-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,2038-11,0.995
2040,A,Earth-Core,1,12,2040-01,190.0,190.0,190.0,190.0,190.0,190.0,1.0,190.0,0.0,6.2,6.2,1178.0,85.5,1263.5,12 month,2039-01,0.96
2040,B,Earth-Flex,1,12,2040-01,110.0,110.0,10.0,10.0,10.0,10.0,1.0,10.0,0.0,8.9,8.9,89.0,1.5,90.5,4 month,2039-09,0.985
2040,C,Earth-New,1,12,2040-01,130.0,130.0,130.0,130.0,130.0,130.0,1.0,130.0,0.0,7.1,7.1,923.0,39.0,962.0,18–24 month,2038-01,0.94
2040,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,0.93
2040,E,Emergency,1,12,2040-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,2039-11,0.995
